ProdName,SKU,Desc,LongDesc
Digest-Ease,23042,Stimulates Healthy Digestion,"Good digestive health is vital in obtaining optimum benefit from the food we eat. Proper digestion requires that sufficient enzymes be produced by the body. Pathway Digest-Ease promotes healthy digestive enzyme balance for protein, fat and carbohydrate digestion. Digest-Ease also contains fennel and peppermint to sooth an upset stomach, and can provide relief for those with gas and bloating."
Diuretic,22886,Supports Urinary Health,"Pathway Diuretic contains key herbs to support urinary tract health. Juniper and Uva Ursi have antibacterial action, while Dandelion and Nettle act as detoxifiers and cleansers for the urinary tract. The addition of Marshmallow and Horsetail help soothe pain and discomfort. The addition of cranberry helps acidy the urine, decreasing the adherence of bacteria to the mucosal walls in the urinary tract."
Double Zinc Plus,2688,Two Forms of this Important Mineral,"Zinc supports healthy skin, bones and hair, and is a key component for hundreds of necessary enzymes, plus it is needed for the support of other antioxidants. Zinc tends to be deficient in the American diet. Make sure you're getting enough with this carefully formulated combination of zinc picolinate and zinc citrate, blended with the coenzyme form of Vitamin B-6 to ensure rapid absorption."
Echinacea Extract,19342,Echinacea Extract - Supports Healthy Immune Function,"Echinacea has a long history of use for promoting immune system function and is especially helpful for supporting upper respiratory health. Studies show that Echinacea has immunomodulatory, wound-healing, and anti-inflammatory properties. Pathway Echinacea Extract features a blend of Echinacea angustifolia and Echinacea purpurea and is standardized to provide 4% Echinacoside. Current research shows that this compound may also have potential use for neurological conditions due to its high antioxidant activity."
Echinacea Goldenseal,48285,Provides fast immune support,"This comprehensive liquid herbal formula is designed to provide effective support for acute viral and bacterial infections. Pathway Echinacea Goldenseal contain herbs that stimulate immune function in all mucosal tissue, including the respiratory tract, urinary system, digestive tract, and reproductive tract."
Elderberry Plus Sambucus with Umckaloabo,48282,"Sinus, nasal, and bronchial support","This unique formula contains elderberry fruit, elderflower, as well as pelargonium root to provide powerful upper respiratory support. These herbal ingredients have immune modulating and antioxidant properties, as well as anti-inflammatory, antiviral, and anti-catarrhal properties. These herbs in this formula have been shown to be helpful for acute and chronic viral infections, sinusitis, and hay fever."
Elderberry Syrup,44045,Immune Support,"Great for both kids and adults, elderberry has been shown to boost immune health and has powerful antioxidant and antiviral properties. It can be taken daily for ongoing seasonal immune protection. At the first sign of a respiratory or nasal challenge, the dosage can be increased to provide additional support. Pathway Elderberry Syrup is organic and glucose and fructose free."
Elderberry Syrup,48137,Immune Support,"Great for both kids and adults, elderberry has been shown to boost immune health and has powerful antioxidant and antiviral properties. It can be taken daily for ongoing seasonal immune protection. At the first sign of a respiratory or nasal challenge, the dosage can be increased to provide additional support. Pathway Elderberry Syrup is organic and glucose and fructose free."
Evening Primrose Oil 500 MG,19317,Nourish the Body with GLA,"Evening primrose oil provides an excellent source of gamma-linolenic acid (GLA). GLA helps to promote the production of anti-inflammatory chemicals in the body and may be helpful for the discomfort of PMS, joint pain and swelling, various skin conditions, and to nourish hair and nails."
Evening Primrose Oil,19316,Nourish the Body with GLA,"Evening primrose oil provides an excellent source of gamma-linolenic acid (GLA). GLA helps to promote the production of anti-inflammatory chemicals in the body and may be helpful for the discomfort of PMS, joint pain and swelling, various skin conditions, and to nourish hair and nails."
Evening Primrose Oil 1300 Mg,23533,Nourish the Body with GLA,"Evening primrose oil provides an excellent source of gamma-linolenic acid (GLA). GLA helps to promote the production of anti-inflammatory chemicals in the body and supports healthy skin, joints, hair and nails."
Flax Oil 1000 MG,19318,Made With Organic Flax,"If you're looking for one of nature's best plant source of Omega 3 fatty acids-and even some useful amounts of Omega-6 and Omega-9, look no further...flax seed is your answer. Because of its high lignan content, it is also a great source of fiber. The flax seed oil we use in our products comes from certified organically grown flax seeds. It is extracted by expeller pressing at a temperature less than 100F without the use of commonly used solvents which can denature the oil. It is available as a delicious nutty tasting oil or convenient capsules."
Gi Optimal Support Powder,38847,Synergistic Gastrointestinal Healing Formula,"GI Optimal Support provides comprehensive support for gastrointestinal health and function. The lining of the gut must have proper permeability and integrity so it can not only absorb nutrients, but also prevent toxins, allergens and microbes from gaining access to the blood stream. Maintaining gut health is the key to promoting overall wellness. GI Optimal Support is also available in capsules. Made with non-GMO ingredients."
Gi Optimal Support,38846,Synergistic Gastrointestinal Healing Formula,"Pathway GI Optimal Support provides comprehensive support for gastrointestinal health and function. The lining of the gut must have proper permeability and integrity so it can not only absorb nutrients, but also prevent toxins, allergens and microbes from gaining access to the blood stream. Maintaining gut health is the key to promoting overall wellness. GI Optimal Support is also available in a powder form. Made with non-GMO ingredients."
Ginger Zinger Cough,22887,Soothes the Respiratory Tract,"Pathway ZINGER COUGH SYRUP is a delicious tasting herbal formula that helps maintain throat and lung health, supports lung immunity, and provides soothing relief for coughs and sore throats. This formula combines Ginger, Osha, Licorice, and Wild Cherry bark , offering powerful respiratory support."
Ginger Zinger Energy,22888,Supports Energy and Vitality,"This energizing and stress-adapting herbal formula is helpful for all conditions that are aggravated by stress such as anxiety, irritability, digestive disorders, fatigue, and hormonal fluctuations. Ingredients include Ginger, American ginseng, Ginkgo, Rhodiola and Schisandra. This adapatogenic formula can help the body respond to stress in a healthy, balanced way."
Ginkgo Biloba 120 MG,2699,Promotes Mental Clarity on Two Levels,"Known as the ""smart herb,"" gingko biloba has been a recent superstar. By encouraging healthy circulation in the brain and fighting any free radical activity there, it works twice as hard to keep you sharp, focused and thinking clearly. Our own Pathway formula contains a high quality 50:1 extract of ginkgo biloba standardized to contain the active components responsible for its beneficial effects24% ginkgo-flavon-glucosides and 6% combined ginkgo-lides A, B, C, and J and bilobalide."
Ginkgo Biloba Extract 120MG,49545,,"Ginkgo biloba has been studied for many years, with research demonstrating its powerful antioxidant potential as well as its ability to support circulation, thereby improving glucose and oxygen transport, particularly to the brain. Our Ginkgo biloba is European standardized ginkgo from a world leader in the manufacturing of European extracts used in clinical studies. European herbs are manufactured to the same standards as over-the-counter drugs in the USA. More importantly, the herb must demonstrate efficacy and safety before it can be sold to the public. The two active ingredients that provide the most significant health benefits are the flavone glycosides and terpene lactones, both of which our ginkgo is consistently standardized for. Manufactured by a world leader in European standardized herbs. Standardized to 24% Flavonglycosides, 6% Terpene Lactones, 0.8% Ginkgolide B. Made to the same specifications as the material used in clinical studies Tested for ginkgolic acid, which is a contaminant naturally occurring in ginkgo. It is potentially harmful in large amounts. Our material is required to test below 5 ppm. Active ingredients are powerful antioxidants that help protect healthy brain cells against free radical damage. Effectively supports healthy circulation by promoting the stable activity of platelet-activating factor; an important mechanism involved in normal, healthy blood clotting. By supporting circulation, ginkgo helps promote the delivery of oxygen and other essential nutrients, particularly to the brain. Ginkgo has been studied extensively to support brain health. It is important to note that these studies used European standardized extracts. Using nonstandardized ginkgo will not produce the same effects. More than 120 clinical studies have been published on standardized ginkgo biloba extract, most of which demonstrated benefits for brain, cardiovascular, and neurological health. Studies also show ginkgo promotes antioxidant protection."
Ginkgo Biloba Extract 120MG,49544,,"Ginkgo biloba has been studied for many years, with research demonstrating its powerful antioxidant potential as well as its ability to support circulation, thereby improving glucose and oxygen transport, particularly to the brain. Our Ginkgo biloba is European standardized ginkgo from a world leader in the manufacturing of European extracts used in clinical studies. European herbs are manufactured to the same standards as over-the-counter drugs in the USA. More importantly, the herb must demonstrate efficacy and safety before it can be sold to the public. The two active ingredients that provide the most significant health benefits are the flavone glycosides and terpene lactones, both of which our ginkgo is consistently standardized for. Manufactured by a world leader in European standardized herbs. Standardized to 24% Flavonglycosides, 6% Terpene Lactones, 0.8% Ginkgolide B. Made to the same specifications as the material used in clinical studies Tested for ginkgolic acid, which is a contaminant naturally occurring in ginkgo. It is potentially harmful in large amounts. Our material is required to test below 5 ppm. Active ingredients are powerful antioxidants that help protect healthy brain cells against free radical damage. Effectively supports healthy circulation by promoting the stable activity of platelet-activating factor; an important mechanism involved in normal, healthy blood clotting. By supporting circulation, ginkgo helps promote the delivery of oxygen and other essential nutrients, particularly to the brain. Ginkgo has been studied extensively to support brain health. It is important to note that these studies used European standardized extracts. Using nonstandardized ginkgo will not produce the same effects. More than 120 clinical studies have been published on standardized ginkgo biloba extract, most of which demonstrated benefits for brain, cardiovascular, and neurological health. Studies also show ginkgo promotes antioxidant protection."
Glu-Nac Plus,2700,Potent Free Radical Defense,"Glutathione is considered to be the most powerful, most versatile, and most important of the body's self-generated antioxidants. N-Acetyl Cysteine (NAC) is a major precursor of glutathione and is believed to be more readily absorbed into certain cells of the body than glutathione. As such, it is an excellent synergist if taken along with glutathione. Together, they help fight free radicals and toxins, plus fortify the immune system. Each GLU-NAC Plus capsule contains 250 mg of glutathione, 250 mg of NAC and 100 mg of alpha lipoic acid (to enhance glutathione levels)."
Glucosamine Sulfate 750 MG,19351,Supports Healthy Joint Function,"Glucosamine stimulates the manufacturing of glycosaminoglycans (GAGS), which are key structural components of cartilage. As we age, we can lose the ability to manufacture sufficient levels of Glucosamine. Glucosamine Sulfate has been the subject of extensive research for osteoarthritis. Pathway Glucosamine Sulfate is shellfish free and contains GlucosaPure, which is the only patented, fully reacted Glucosamine Sulfate Potassium Chloride available."
Glucose Support,44929,,"Glucose Support is a comprehensive and synergistic combination of minerals, herbs and other nutraceuticals, specifically designed to help support normal, healthy blood glucose levels.† Alterations in glucose metabolism can have a significant impact on overall health. There have been many studies that demonstrate the beneficial effects of numerous vitamins, minerals, herbs and other compounds on glucose metabolism. Our Glucose Support formula offers several patented and trademarked ingredients backed by scientific research demonstrating their positive effects on glucose control."
Glutamine Powder,19360,Enhanced Intestinal Support,This amino acid plays an important role in digestive health by nourishing the cells that line the intestine and the stomach. Glutamine is also responsible for keeping muscles functioning normally and for maintaining a healthy immune system.
Glutamine Powder,44252,Enhanced Intestinal Support,This amino acid plays an important role in digestive health by nourishing the cells that line the intestine and the stomach. Glutamine is also responsible for keeping muscles functioning normally and for maintaining a healthy immune system.
Glutathione 250 Mg,3035,Important Cellular Antioxidant,"Glutathione is an important antioxidant involved in the liver’s detoxification pathways. It converts chemicals and metabolic byproducts into harmless substances for excretion from the body. It is also involved in DNA synthesis, protein and prostaglandin synthesis, amino acid transport, metabolism of toxins and carcinogens, immune system function, and enzyme activation."
Gluten-Ade,20931,Gluten Digestive Enzymes with Acidophilus and Prebiotics,"Approximately 2 million Americans suffer from Celiac Disease and gluten sensitivity. When gluten is not completely digested, protein fragments called peptides can trigger an autoimmune response that can lead to conditions, which can damage the lining of the small intestine. Pathway Gluten-Ade is a comprehensive gluten digestive enzyme formula with both pre- and probiotics. This formula contains high potency DPP IV enzyme activity for optimal digestion of gluten peptides."
Grape Seed Extract,19345,,"Grape seed extract exhibits a very high content of oligomeric proanthocyanides (OPC). OPCs have potent antioxidant capability and are highly effective in cross-linking and strengthening connective tissues. Numerous studies support the use of OPCs as useful adjuncts to protocols dealing with aging / longevity, circulation, visual acuity, skin wrinkling, bruising, mental function, as well as inflammation, immune resistance, accelerated healing, allergies, fatigue reduction, and increased energy. Our European grape seed extract is from Leucoselect, the most researched Grape seed extract on the market today."
Grape Seed Extract,43809,,"Grape seed extract exhibits a very high content of oligomeric proanthocyanides (OPC). OPCs have potent antioxidant capability and are highly effective in cross-linking and strengthening connective tissues. Numerous studies support the use of OPCs as useful adjuncts to protocols dealing with aging / longevity, circulation, visual acuity, skin wrinkling, bruising, mental function, as well as inflammation, immune resistance, accelerated healing, allergies, fatigue reduction, and increased energy. Our European grape seed extract is from Leucoselect, the most researched Grape seed extract on the market today."
Green Coffee Bean Extract,31804,Support Fat Metabolism and Weight Reduction,"Green coffee bean contains chlorogenic acid (CGA), which has been shown in studies with mice to inhibit the release of glucose in the body and to boost the metabolism of sugar and fat in the liver. This can potentially help to drive the body toward burning more fat and storing less of it. And apparently, you cannot get the same effects by just drinking coffee. The benefits of this supplement are due to its high CGA content and not its caffeine content, which is actually far less than a small cup of coffee.A recent study on Green Coffee Bean’s weight loss effects was conducted in early 2012. That study examined 16 overweight adults and found that treatment with 350mg of green coffee bean extract three times daily for 12 weeks helped to cause significant reductions in body weight, despite no other change in diet.1 capsule 1-3 times daily with meals."
Green Tea Extract 300 MG,19346,Protects the Body from Free Radicals,"Green Tea Extract is rich in free radical fighting antioxidants. Green tea contains a substance called epigallocatechin gallate (EGCG), which has powerful anticancer properties, and has been shown to significantly protect DNA from free radical damage. Recent studies have shown potential in offsetting symptoms of Alzheimer disease. The capsule version is from a European extract, standardized to 50% Catechins. The liquid version has the same antioxidant level as 10 cups of Green Tea per serving."
Green Tea Formula,19846,Protects the Body from Free Radicals,"Pathway Green Tea Formula is rich in free radical fighting antioxidants. Green tea contains a substance called epigallocatechin gallate (EGCG), which has powerful anticancer properties, and has been shown to significantly protect DNA from free radical damage. Recent studies have shown potential in offsetting symptoms of Alzheimer disease. The capsule version is from a European extract, standardized to 50% Catechins. The liquid version has the same antioxidant level as 10 cups of Green Tea per serving."
Gum Tonic,22877,Supports Oral Health,"Pathway GUM TONIC is a comprehensive mouth rinse that supports healthy oral hygiene. Swollen, bleeding, and receding gums may find benefit from this comprehensive herbal mouth wash. Pathway GUM TONIC strengthens gum tissue with its antibacterial, anti-inflammatory, and astringent properties. It also supports the production of saliva. Ingredients include goldenseal root, bayberry root bark, prickly ash bark, myrrh gum, and coptis root."
Hepa Plus,2702,For Healthy Liver Function,"The liver is a vital organ responsible for healthy metabolism, blood sugar levels, thyroid function, digestion, detoxification and energy levels. That is why it is essential to nurture it with nutrients like those in Pathway's HEPA PLUS. Milk Thistle extract, standardized to greater than 80% silymarin, promotes detoxification and stimulates healthy growth of new liver cells. Dandelion root helps encourage healthy flow of bile, while Alpha Lipoic Acid and N-Acetyl L-Cysteine both lend antioxidant support."
Herp-Ease,22878,Provides Targeted Immune Support,"Pathway Herp-Ease is a liquid herbal formula designed to support a healthy immune system. Ingredients include neem, licorice, St. Johns wort, and turmeric for a powerful anti-viral and anti-inflammatory blend."
Homocysteine Synergy,39006,Supports the Effective Metabolism of Homocysteine,"Homocysteine Synergy contains a blend of naturally-occurring folates known to support the metabolism of homocysteine. An optimally functioning homocysteine pathway provides methyl and sulfur groups for biochemical reactions such as detoxification, healthy immune function, ideal joint and cartilage structure, and brain and cardiovascular health. Made with non-GMO ingredients."
Immune System Support,19339,Comprehensive Immune System Support,"This comprehensive formula contains European standardized herbs, which are the most efficacious botanicals on the market today. Clinically studied echinacea and astragalus have a long history of supporting the immune system. We use maitake mushroom TD fraction as well as shitake and reishi mushroom. Medicinal mushrooms have been studied for their protective immune system supporting properties. Vitamin A, C, B-6, Folic Acid, B-12 and pantothenic Acid support various healthy structure functions. Quercetin, goldenseal and garlic are included for their supportive functions. We use the trademarked ingredient OptiZinc™, which supports a healthy immune function as well as muscular, skeletal and connective tissue health."
Immune System Support,44043,Comprehensive Immune System Support,"This comprehensive formula contains European standardized herbs, which are the most efficacious botanicals on the market today. Clinically studied echinacea and astragalus have a long history of supporting the immune system. We use maitake mushroom TD fraction as well as shitake and reishi mushroom. Medicinal mushrooms have been studied for their protective immune system supporting properties. Vitamin A, C, B-6, Folic Acid, B-12 and pantothenic Acid support various healthy structure functions. Quercetin, goldenseal and garlic are included for their supportive functions. We use the trademarked ingredient OptiZinc™, which supports a healthy immune function as well as muscular, skeletal and connective tissue health."
Immuno Well Rx,27131,Supports a Healthy Immune Function,"Immuno Well Rx is a powerful herbal formula that helps strengthen the body's resistance to infections. It features a combination of Western and Chinese herbs such as echinacea, maitake and shitake mushroom, garlic, honeysuckle, isatis, and forsythia. It is designed to provide immediate support during cold and flu season."
Immuno-Tonic,48286,Herbal immune booster,"This liquid herbal formula provides great immune boosting support. Best taken on a daily basis, Pathway Immuno Tonic contains herbs such as astragalus, echinacea, licorice, and eleuthero to help keep you healthy. It can be especially useful for individuals exposed to a high level of germs, such as teachers, health care providers, people who travel a lot, and people in service fields."
Immuno-Tonic Alcohol Free,48287,Herbal immune booster,"This liquid herbal formula provides great immune boosting support. Best taken on a daily basis, Pathway Immuno Tonic contains herbs such as astragalus, echinacea, licorice, and eleuthero to help keep you healthy. It can be especially useful for individuals exposed to a high level of germs, such as teachers, health care providers, people who travel a lot, and people in service fields."
ImmunoLyte Fizz Berry,51213,,"Hydration and proper electrolyte balance are critically important for supporting energy levels as well as physical and mental endurance. Of equal importance is getting the right balance of nutrients to promote a healthy immune response. ImmunoLyte Fizz supports both energy and immune function by providing important vitamins, minerals, and herbs. ImmunoLyte Fizz is great for everyday use, but can be especially helpful during travel, exercise, and recovery from a stomach bug. Also available in delicious tasting natural orange flavor."
ImmunoLyte Fizz Orange,51214,,"Hydration and proper electrolyte balance are critically important for supporting energy levels as well as physical and mental endurance. Of equal importance is getting the right balance of nutrients to promote a healthy immune response. ImmunoLyte Fizz supports both energy and immune function by providing important vitamins, minerals, and herbs. ImmunoLyte Fizz is great for everyday use, but can be especially helpful during travel, exercise, and recovery from a stomach bug. Also available in delicious tasting natural berry flavor."
Inflammove,19337,Natural Anti-inflammatory Support,"Pathway INFLAMMOVE contains a comprehensive blend of standardized herbal extracts, enzymes, and antioxidants to support healthy joint mobility and a healthy inflammatory response. Key ingredients include turmeric, ginger, white willow, boswellia, devil’s claw, papain, bromelain, resveratrol and grape seed extract. Don't let joint discomfort or inflammation slow you down!"
Itch Relief,23072,,Herbal relief for itching
Kava Gold,22880,Supports Relaxation,"Stressful situations are part of our daily existence. Pathway KAVA GOLD is a premium blend of Kava from Hawaii and Vanuatu, as well as other deeply relaxing and stress-reducing herbs. KAVA GOLD is a calming and soothing formula that provides support during times that are both emotionally and mentally difficult."
Kids Acidophilus,19841,"Shelf Stable, Grape Flavor","This high potency, multiple species, children's specific probiotic provides the most beneficial bacteria in the amounts that help to establish an excellent digestive environment. Each capsule is microencapsulated to protect the good bacteria against the destruction normally caused by the harsh acidic environment of the stomach."
Kids Attention Plus,22883,Supports Focus and Concentration,Pathway Kids' Attention Plus s a unique liquid herbal formula designed especially for children who struggle with focus and concentration issues.
Kids Biotic,22884,Supports Healthy Immune Function,"Pathway KID’S BIOTIC is a synergistic herbal formula designed to support immune function during a cold, flu, bacterial, viral, or for a sinus infection. Key ingredients include goldenseal, osha, echinacea, licorice, oregon grape root, myrrh, and wild indigo."
Kids Chewable Multi WITH ACIDOPHILUS,24024,Cherry Flavor With Probiotics,"This multiple provides important vitamins and minerals in a great tasting chewable tablet and includes a probiotic blend for immune and digestive support. There are no artificial flavorings or colorings. Kids’ Chewable Multi contains only natural sweeteners such as xylitol and luo han guo, and contains no artificial flavorings or colorings."
Kids Cough,22885,Soothing Respiratory Support,"Pathway KID’S COUGH soothes the throat and helps to support the respiratory system. It is a great alternative to over-the-counter cough syrups that contain dyes, sugars and alcohol. This great-tasting formula acts as an expectorant as well as having antibacterial and antiviral properties. It contains wild cherry bark, osha root, and yerba santa, which encourage the loosening of phlegm in the respiratory tract."
Korean Ginseng,44038,Stimulating Adaptogenic Herb,"Korean (Panax) ginseng is one of the most well-known medicinal plants in the world. It has a long history of use as an adaptogenic tonic that promotes health, vitality, and longevity. Studies show that it has a wide range of health benefits, including increasing one's resistance to stressors, promoting blood sugar balance, enhancing mental function and performance, supporting immune health, promoting liver health, supporting blood cell formation, enhancing sexual function, and protecting heart health. Some of the indications for taking ginseng, include recovery from illness or surgery, fatigue, improving resistance to infection, menopause, impotence, as well as a tonic for the elderly. Pathway Korean Ginseng is a standardized extract to provide maximum benefit."
L-5-Htp 100 Mg,45220,A Natural Precursor to Serotonin,"L-5-HTP is an amino acid that plays an important role in the production of serotonin, a neurotransmitter associated with emotional well-being and sleep cycle regulation. Because stress and poor diet can cause a depletion of serotonin levels, supplementing with 5-HTP can help to replenish serotonin levels. Pathway L-5-HTP 100 mg also includes important cofactors, vitamin C and vitamin B6, for enhanced support."
L-5-Htp 100 Mg,45221,A Natural Precursor to Serotonin,"L-5-HTP is an amino acid that plays an important role in the production of serotonin, a neurotransmitter associated with emotional well-being and sleep cycle regulation. Because stress and poor diet can cause a depletion of serotonin levels, supplementing with 5-HTP can help to replenish serotonin levels. Pathway L-5-HTP 100 mg also includes important cofactors, vitamin C and vitamin B6, for enhanced support."
L-5-Mthf 5Mg,38842,Patented Folate Derivative Quatrefolic for Enhanced Bioavailability,"L-5-MTHF provides the natural and active form of folate. Folate is essential for cell division and growth, and also helps to balance the homocysteine pathway. Our L-5-MTHF provides the patented folate derivative Quatrefolic®. This innovative form of folate has demonstrated high bioavailability and solubility as well as enhanced stability. Quatrefolic® L-5-MTHF helps to increase the body's folate levels much better than folic acid. Made with non-GMO ingredients."
L-Carnitine,14107,,
L-Carnitine 250 Mg,3033,Provides the Raw Materials You Need for a Sharp Memory,"This important amino acid supports cardiovascular health (helps to prevent fatty build-up in blood vessels, the liver, and muscles), healthy cholesterol levels, weight management, and muscle strength. L-Carnitine may also have antioxidant properties."
L-Carnitine 500 Mg,20924,Supports Cellular Energy,"This important amino acid supports cardiovascular health (helps to prevent fatty build-up in blood vessels, the liver, and muscles), healthy cholesterol levels, weight management, and muscle strength. L-Carnitine may also have antioxidant properties."
L-Glutamine 500 Mg,3031,Enhanced Intestinal Support,"This amino acid plays an important role in digestive health by nourishing the cells that line the intestine and the stomach. Glutamine is also responsible for helping muscles to function normally, and for maintaining a healthy immune system."
L-Lysine 500 Mg,3039,Essential Amino Acid,"Lysine is an essential amino acid that cannot be produced by the body. It aids in adequate absorption of calcium and the formation of collagen for bone. Lysine helps strengthen the body’s immune system, as well as supporting the body’s acid/alkaline balance. It is essential for amino acid assimilation and assists in the storage of fats."
L-Lysine 500 Mg,3040,Essential Amino Acid,"Lysine is an essential amino acid that cannot be produced by the body. It aids in adequate absorption of calcium and the formation of collagen for bone. Lysine helps strengthen the body’s immune system, as well as supporting the body’s acid/alkaline balance. It is essential for amino acid assimilation and assists in the storage of fats."
L-Theanine 100 MG,19356,Promotes Rest and Relaxation,Pathway L-Theanine contains the trademarked ingredient SunTheanine®. SunTheanine® has been extensively evaluated in scientific studies and has shown to promote relaxation and restful sleep without causing drowsiness or unwanted side effects. SunTheanine® is a 100% pure source of L-Theanine.
L-Theanine,44042,Promotes Rest and Relaxation,Pathway L-Theanine contains the trademarked ingredient SunTheanine®. SunTheanine® has been extensively evaluated in scientific studies and has shown to promote relaxation and restful sleep without causing drowsiness or unwanted side effects. SunTheanine® is a 100% pure source of L-Theanine.
L-Tyrosine 500 Mg,3038,Supports Healthy Mood and Mental Alertness,"L-Tyrosine is an amino acid that supports brain, thyroid, and adrenal function. Tyrosine is used by the body to make hormones, neurotransmitters, and metabolic enzymes."
Leg & Vein Support Plus,38849,Antioxidant Rich Formula to Support Blood Vessel Health,"Leg & Vein Support Plus contains a synergistic blend of natural ingredients extensively researched for their benefits in regards to the health of blood vessels. This anti-inflammatory and antioxidant rich formula, is designed to support optimum blood and lymph circulation, as well as the strength and elasticity of blood vessels."
Lion'S Mane Mushroom,47522,"Supports Memory, Focus, and Brain Health","Lion’s mane mushroom shows exciting promise for supporting neural and mental health. Studies show that compounds in this mushroom induce the synthesis of proteins called nerve growth factors, which promote nerve survival and proliferation. Additional studies show that lion’s mane has the ability to improve cognitive function as well as uplift mood."
Liquid C Orange Flavor,6211,,
Liver Detox,23858,Supports Healthy Liver Function,"The liver plays an important role in cleansing and detoxifying the body. Optimal liver health is also important for hormone balance, digestive health, bowel regularity, and much more. Pathway Liver Detox combines key herbs such as Oregon grape root, milk thistle, yellow dock and dandelion root to stimulate the liver and support healthy detoxification."
Liver Support And Detox,25239,Helps Support Liver Function and Detoxification,"The liver is the body’s main detoxification organ. Detoxification in the liver occurs in two phases: first it converts toxic substances into more water-soluble compounds, and then it excretes them via the kidneys, bowels, and skin. Pathway Liver Support and Detox features a targeted group of nutrients & botanical extracts that help provide the liver with important cofactors for normal, healthy detoxification."
Lutein Plus 20 MG W/BILBERRY,19301,Supports Eye and Heart Health,"Lutein is an important antioxidant from the carotenoid family of nutrients, shown to support ocular health. Our Lutein is the trademarked FloraGlo®, which is the most studied source of lutein and does not contain inferior lutein esters."
Lycopene 15 Mg,23534,Standardized Tomato Extract,"Recent studies suggest that a diet rich in tomato products (one of the best sources of lycopene) is strongly linked to a healthy immune system as well as prostate health. Pathway Lycopene formula utilizes Lyc-O-Mato™, which provides 15 mg standardized lycopene from natural tomato extract in a medium of rice bran oil to enhance absorption."
Lycopene 15 Mg,23534,Standardized Tomato Extract,"Recent studies suggest that a diet rich in tomato products (one of the best sources of lycopene) is strongly linked to a healthy immune system as well as prostate health. Pathway Lycopene formula utilizes Lyc-O-Mato™, which provides 15 mg standardized lycopene from natural tomato extract in a medium of rice bran oil to enhance absorption."
Magnesium Glycinate 400Mg,44582,Highly Absorbable Magnesium,"Magnesium plays an essential role in hundreds of cellular reactions in they body, and is considered one of the most important minerals. In the U.S., magnesium deficiency is common, and can result from depleted soil, digestive issues, chronic diseases, and medication use. Symptoms of magnesium deficiency include leg cramps, insomnia, muscle pain, anxiety, high blood pressure, blood sugar imbalances, fatigue, migraines, and osteoporosis. Pathway Magnesium Glycinate is a chelated form of magnesium which provides high levels of absorption and bioavailability and is an ideal recommendation for individuals wanting to correct a magnesium deficiency."
Magnesium Glycinate 400Mg,44583,Highly Absorbable Magnesium,"Magnesium plays an essential role in hundreds of cellular reactions in they body, and is considered one of the most important minerals. In the U.S., magnesium deficiency is common, and can result from depleted soil, digestive issues, chronic diseases, and medication use. Symptoms of magnesium deficiency include leg cramps, insomnia, muscle pain, anxiety, high blood pressure, blood sugar imbalances, fatigue, migraines, and osteoporosis. Pathway Magnesium Glycinate is a chelated form of magnesium which provides high levels of absorption and bioavailability and is an ideal recommendation for individuals wanting to correct a magnesium deficiency."
"Mct Oil Powder UNSWEETENED, UNFLAVORED",47525,Lasting Energy Support,"MCTs (medium-chain triglycerides) are a unique form of dietary fat that have many health benefits. Due to their shorter length, they are easier and more quickly absorbed, digested, and utilized by the body. Incorporating MCTs into the diet helps to provide preferred and sustainable energy source that the body can use for fat metabolism, cognitive health, and cardiovascular health. MCTs also support the microbiome, gut health, and immune health."
Melatonin,25902,Regulate Sleep Naturally,Melatonin is an important hormone normally secreted by the pineal gland in the brain. It is found in every cell of the body and is responsible for regulating circadian rhythms. Optimal levels of melatonin allow us to have restful and restorative sleep. Melatonin is also used when traveling to help with jet lag.
Melatonin 10Mg,48236,Regulate Sleep Naturally,Melatonin is an important hormone normally secreted by the pineal gland in the brain. It is found in every cell of the body and is responsible for regulating circadian rhythms. Optimal levels of melatonin allow us to have restful and restorative sleep. Melatonin is also used when traveling to help with jet lag.
Melatonin 3 Mg,38295,Regulate Sleep Naturally,Melatonin is an important hormone normally secreted by the pineal gland in the brain. It is found in every cell of the body and is responsible for regulating circadian rhythms. Optimal levels of melatonin allow us to have restful and restorative sleep. Melatonin is also used when traveling to help with jet lag.
Mellow Mag-Cherry Flavor,43266,Supports Calmness and Relaxation,"Mellow Mag features a highly absorbable, ionic form of magnesium. Available in either natural cherry or lemon flavor, this great tasting effervescent powder provides an immediate sense of relaxation and calmness."
Mellow Mag-Lemon Flavor,43265,Supports Calmness and Relaxation,"Mellow Mag features a highly absorbable, ionic form of magnesium. Available in either natural cherry or lemon flavor, this great tasting effervescent powder provides an immediate sense of relaxation and calmness."
Men’s 50 Billion Probiotic Formula,51108,,"This high-potency probiotic formula is designed to specifically support men’s digestive, immune, and colon health. It features a Lactobacillus blend of 30 billion cells as well as a Bifidobacterium blend of 20 billion cells. Also included is a patented prebiotic fiber blend to help support the growth of beneficial bacteria and promote a healthy microbiome balance."
Men’s 50 Billion Probiotic Formula,51109,,"This high-potency probiotic formula is designed to specifically support men’s digestive, immune, and colon health. It features a Lactobacillus blend of 30 billion cells as well as a Bifidobacterium blend of 20 billion cells. Also included is a patented prebiotic fiber blend to help support the growth of beneficial bacteria and promote a healthy microbiome balance."
